id,name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
2081400,Gal Guardians: Demon Purge,2023,,8,4.119402985074627,,,,,Dark Fantasy|Platformer|Cute|Gothic|Sexual Content|Anime|Side Scroller|Multiplayer|Action|2D|Pixel Graphics|Co-op|Local Co-Op|Adventure|Female Protagonist|Local Multiplayer|Singleplayer|2D Platformer
2089350,Hatsune Miku Logic Paint S,2022,,8,15.666666666666666,15.5,17.38,39.24,23.740000000000002,Relaxing|Cute|Puzzle|Casual|Anime|2D|Pixel Graphics|Great Soundtrack|Singleplayer
1391720,HANG IN ! MONKEY BARS ROBOT,2020,,,0.5,,,,,1980s|Funny|Action-Adventure|Arcade|Side Scroller|Science|Indie|Score Attack|Action|Mechs|Pixel Graphics|Futuristic|Minimalist|2D|Comedy|Singleplayer|2D Platformer|Sci-fi
1393550,サブリミナルレジオン,2020,,,1.0,,,,,Drama|Visual Novel|Story Rich|Fantasy|Indie|2D|Adventure|Singleplayer
1419140,Little Big Monsters,2020,,,1.0,,,,,Magic|Procedural Generation|Action-Adventure|Action|Pixel Graphics|Adventure|Combat|PvE|Action Roguelike|Top-Down|Early Access|Survival|Fantasy|Indie|Singleplayer|Colorful|Dungeon Crawler|Third Person|2D
1472330,NOMAD Revisited,2020,,,1.0,,,,,Robots|Combat|Space|Flight|Arcade|Side Scroller|Cyberpunk|Retro|Action|2D|Pixel Graphics|Futuristic|Linear|Shooter|Singleplayer|Sci-fi
900870,Super Dig Man Deluxe,2021,,,1.0,,,,,Procedural Generation|Mining|Arcade|Casual|Cartoon|Free to Play|Indie|Family Friendly|Side Scroller|2D|Pixel Graphics|Old School|Linear|Simulation|Singleplayer|2D Platformer
1554920,Neon Shooter,2021,,,2.0,,,,,1980s|Colorful|Twin Stick Shooter|Arcade|Retro|Action|2D|Top-Down|Shooter|Singleplayer
1755790,"""Dance like a butterfly, Shot like a Bee!""",2021,,,1.0,,,,,Top-Down Shooter|Steampunk|Indie|Score Attack|Action|Mechs|Adventure|Futuristic|Pixel Graphics|Shooter|2D|Singleplayer|2D Platformer
1767490,Typeds,2021,,,2.0,,,,,Space|Typing|Casual|Score Attack|Action|2D|Shooter|Singleplayer
1347490,箱庭小相撲,2020,,,1.0,,,,,God Game|Free to Play|2D|Singleplayer|Simulation|Sports
1539590,Omniblast,2021,,,1.0,,,,,Action-Adventure|Multiplayer|Action|Pixel Graphics|Combat|PvE|Tactical|Runner|Top-Down|Local Co-Op|Flight|Arcade|Casual|Survival|Singleplayer|Space|Aliens|Real Time Tactics|2D|Sci-fi
1258000,RADARjAM,2020,,,4.0,,,,,Fast-Paced|Flight|Addictive|Arcade|Indie|Retro|Action|2D|Pixel Graphics|Difficult|Replay Value|Singleplayer|Military|War|Bullet Hell
1414710,Arc Wizards 2,2020,,,4.0,,,,,Horror|Character Action Game|Hero Shooter|Action-Adventure|Spectacle fighter|Multiplayer|Side Scroller|Strategy|Action|Pixel Graphics|Adventure|2.5D|Platformer|Action Roguelike|Exploration|Free to Play|Action RPG|2D Fighter|Controller|Co-op|Top-Down|Local Multiplayer|Local Co-Op|2D Platformer|Battle Royale|Souls-like|Auto Battler|Relaxing|Survival Horror|Arcade|3D Fighter|Survival|Fantasy|Casual|Retro|Thriller|Shooter|Simulation|Singleplayer|PvP|Dark Comedy|Martial Arts|Realistic|Hand-drawn|Online Co-Op|Mystery Dungeon|Dungeon Crawler|Anime|Family Friendly|2D|Difficult|Sports
1423880,Grid Fight - Mask of the Goddess - First Boot,2020,,,2.0,,,,,Character Action Game|Action-Adventure|Strategy|Action|Tactical RPG|Strategy RPG|Action RPG|Character Customization|Co-op|RPG|JRPG|Multiple Endings|Colorful|Cute|Choices Matter|Real Time Tactics|2D|Minimalist|4 Player Local
1564720,先民的遗迹Relics of ancestors,2021,,,1.0,,,,,Story Rich|Visual Novel|Historical|Strategy|Adventure|Exploration|Puzzle|RPG|Early Access|JRPG|RPGMaker|Crafting|Casual|Indie|Simulation|Mystery Dungeon|Medieval|Anime|Real Time Tactics|2D|Sandbox
1612380,Combat Casino,2021,,,1.3333333333333333,,,,,Procedural Generation|Dystopian |Strategy|Action|Pixel Graphics|PvE|Turn-Based Combat|Action Roguelike|Cyberpunk|Female Protagonist|Turn-Based Tactics|Post-apocalyptic|Arcade|Casual|Cartoony|Perma Death|Colorful|2D|Economy
