steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,release_date,additional_content,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD)
1581660,LOOSEPO,['MEWSTURBO'],['MEWSTURBO'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Action', 'Casual', 'Indie']",0,9,['windows'],True,2021-12-03 00:00:00,[],3,2,1,0.0,3 user reviews,66.7,0,False,1.99
1581670,The Five Covens,['rBornGames'],['Gammera Nest'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",0,26,['windows'],True,2021-11-17 00:00:00,[],3,2,1,0.0,3 user reviews,66.7,0,False,4.99
1581700,Wild Wet West,['Lesson of Passion'],['Lesson of Passion'],['Single-player'],"['Adventure', 'Casual', 'Indie']",0,0,['windows'],True,2021-12-24 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,True,0.0
1581720,Operation Thunder,['Flashblack Games'],['Flashblack Games'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Action', 'Indie']",0,16,"['windows', 'linux']",True,2021-09-29 00:00:00,[],12,12,0,7.0,Positive,100.0,0,False,4.99
1581740,Kosmo Laika : Guide to Space,['Animalle Studio'],['Animalle Studio'],"['Single-player', 'Steam Achievements', 'Family Sharing']",['Casual'],0,7,['windows'],True,2021-05-19 00:00:00,[],11,11,0,7.0,Positive,100.0,0,False,1.99
1581760,"Poetry, wine and sword",['我一人足矣'],['我一人足矣'],"['Single-player', 'Family Sharing']","['Casual', 'RPG', 'Simulation']",0,0,['windows'],True,2021-04-09 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,False,0.99
1581790,Mystery at Morgoth,['Ian C Pook'],['Paphian Games'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Indie', 'RPG', 'Strategy']",0,20,['windows'],True,2023-08-31 00:00:00,[],7,6,1,0.0,7 user reviews,85.7,0,False,4.99
1581800,Slow living with Princess,"['KADOKAWA', 'TSUKURITE.']",['0UP GAMES'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Indie', 'Simulation']",0,25,['windows'],True,2023-10-15 00:00:00,[],137,126,11,8.0,Very Positive,92.0,0,False,19.99
1581830,Super Sunny Island,['lightUP'],['lightUP'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Indie']",0,17,['windows'],True,2021-06-17 00:00:00,[],10,9,1,7.0,Positive,90.0,0,False,2.99
1581850,Online Retro Tennis,['Rogerty'],['Rogerty'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Family Sharing']","['Casual', 'Sports']",0,5,"['windows', 'linux']",True,2021-04-27 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,False,1.99
